origin               destination        
Admiralty            Admiralty                344.5
                     Mountbatten             2643.0
                     Tampines NSEW           2871.5
                     Punggol                 2915.5
                     Fernvale                2942.0
                     Expo NSEW               3015.0
                     Coral Edge              3097.0
                     Cheng Lim               3287.0
                     Pasir Ris               3309.0
                     Bedok                   3505.0
                     Changi Airport          3845.0
Bedok                Tanah Merah              299.0
                     Kembangan                379.0
                     Eunos                    464.0
                     Simei                    540.0
                     Paya Lebar NSEW          598.0
                     Paya Lebar CCL           661.5
                     Tampines NSEW            728.5
                     Aljunied                 729.0
                     Expo NSEW                828.0
                     Dakota                   833.0
                     Kallang                  859.0
                     MacPherson CCL           893.0
                     Pasir Ris                920.0
                     Lavender                 999.0
                     Mountbatten             1013.5
                     Tai Seng                1023.0
                     Bugis NSEW              1120.0
                     Stadium                 1136.0
                     Nicoll Highway          1201.0
                     Changi Airport          1210.0
                     City Hall               1217.0
                     Bugis DTL               1233.0
                     Serangoon CCL           1342.0
                     Raffles Place           1367.0
                     Promenade               1403.5
                     Rochor                  1443.5
                     Tanjong Pagar           1466.0
                     Lorong Chuan            1468.0
                     Dhoby Ghaut NSEW        1492.0
                     Bartley                 1495.0
                     Somerset                1561.5
                     Outram Park NSEW        1573.0
                     Esplanade               1585.0
                     Marina Bay              1586.0
                     Dhoby Ghaut NEL         1592.0
                     Bayfront CCL            1658.0
                     Orchard                 1662.5
                     Little India NEL        1693.0
                     Tiong Bahru             1725.5
                     Little India DTL        1735.5
                     Woodleigh               1742.0
                     Outram Park NEL         1750.0
                     Marymount               1757.0
                     Newton DTL              1758.0
                     Downtown                1762.0
                     Bras Basah              1772.0
                     Bishan CCL              1795.0
                     Kovan                   1819.0
                     Redhill                 1827.5
                     Newton NSEW             1841.0
                     Telok Ayer              1885.0
                     Novena                  1891.0
                     Potong Pasir            1901.0
                     Stevens                 1961.5
                     Farrer Park             1971.0
                     Hougang                 1980.5
                     Chinatown NEL           1984.0
                     Buangkok                1993.0
                     Serangoon NEL           2000.0
                     Botanic Gardens DTL     2009.0
                     Chinatown DTL           2013.0
                     Toa Payoh               2021.0
                     Bishan NSEW             2051.0
                     Queenstown              2053.0
                     Bedok                   2065.0
                     Clarke Quay             2068.0
                     HarbourFront NEL        2075.0
                     HarbourFront CCL        2088.0
                     Caldecott               2095.5
                     Ang Mo Kio              2125.0
                     Commonwealth            2132.0
                     Braddell                2148.0
                     Farrer Road             2195.0
                     Telok Blangah           2204.0
                     Sixth Avenue            2229.0
                     Punggol                 2244.0
                     Buona Vista NSEW        2253.5
                     Marina South Pier       2259.5
                     Sengkang                2261.0
                     King Albert Park        2320.0
                     Botanic Gardens CCL     2349.0
                     Dover                   2411.0
                     Buona Vista CCL         2413.0
                     Labrador Park           2425.5
                     Yio Chu Kang            2434.0
                     Compassvale             2455.0
                     Holland Village         2471.0
                     Clementi                2537.0
                     Khatib                  2598.0
                     Beauty World            2617.0
                     Renjong                 2704.5
                     one-north               2727.0
                     Rumbia                  2729.0
                     Cashew                  2736.0
                     Jurong East             2813.5
                     Pasir Panjang           2844.0
                     Yishun                  2863.0
                     Bukit Panjang DTL       2880.0
                     Kent Ridge              2941.0
                     Fernvale                2977.0
                     Haw Par Villa           3003.0
                     Chinese Garden          3032.0
                     Sembawang               3089.0
                     Lakeside                3100.5
                     Bukit Batok             3180.0
                     Admiralty               3219.0
                     Boon Lay                3308.0
                     Bukit Gombak            3418.0
                     Woodlands               3427.0
                     Pioneer                 3466.5
                     Marsiling               3520.0
                     Choa Chu Kang           3527.0
                     Joo Koon                3812.0
                     South View              3902.0
                     Yew Tee                 3929.5
                     Nibong                  3930.0
                     Kranji                  3931.0
                     Teck Whye               4147.0
Bishan CCL           Bishan NSEW              161.0
                     Bishan CCL               215.0
                     Lorong Chuan             321.5
                     Braddell                 363.5
                     Caldecott                377.0
                     Ang Mo Kio               381.0
                     Marymount                405.5
                     Toa Payoh                415.0
                     Serangoon CCL            436.5
                     Yio Chu Kang             564.0
                     Serangoon NEL            572.5
                     Novena                   630.0
                     Bartley                  645.0
                     Botanic Gardens CCL      703.5
                     Newton NSEW              714.0
                     Tai Seng                 727.0
                     Woodleigh                764.0
                     Orchard                  869.5
                     MacPherson CCL           881.0
                     Khatib                   890.5
                     Farrer Road              904.0
                     Kovan                    962.5
                     Somerset                 968.0
                     Potong Pasir             974.0
                     Holland Village          997.0
                     Paya Lebar CCL          1015.0
                     Hougang                 1056.0
                     Yishun                  1058.0
                     Dhoby Ghaut NSEW        1090.0
                     Paya Lebar NSEW         1095.0
                     Buona Vista CCL         1106.0
                     Boon Keng               1140.0
                     Buangkok                1176.0
                     Dakota                  1182.5
                     City Hall               1245.0
                     Sengkang                1250.0
                     one-north               1257.5
                     Dhoby Ghaut NEL         1292.0
                     Sembawang               1294.0
                     Farrer Park             1337.0
                     Mountbatten             1352.0
                     Little India NEL        1370.5
                     King Albert Park        1386.5
